car_model,price,year_model,kms,colour,fuel_type,location,url_car
Chevrolet Onix,52.000.000,2019,"32,000",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2232968936-chevrolet-onix-14-_JM#position=1&search_layout=grid&type=item&tracking_id=0dbae5ac-da5c-4320-bc64-4ab7aca9d718
Chevrolet Onix,57.900.000,2021,"38,500",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1395789463-chevrolet-onix-lt-tp-10-2021-_JM#position=2&search_layout=grid&type=item&tracking_id=0dbae5ac-da5c-4320-bc64-4ab7aca9d718
Chevrolet Onix,55.900.000,2021,"38,000",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1397551627-chevrolet-onix-lt-10-_JM#position=3&search_layout=grid&type=item&tracking_id=0dbae5ac-da5c-4320-bc64-4ab7aca9d718
Chevrolet Onix,46.000.000,2019,"56,000",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2212880860-chevrolet-onix-14-ltz-aut-2019-_JM#position=4&search_layout=grid&type=item&tracking_id=0dbae5ac-da5c-4320-bc64-4ab7aca9d718
Chevrolet Onix,43.000.000,2016,"47,096",Blanco,Gasolina,Nariño,https://articulo.tucarro.com.co/MCO-2203171970-chevrolet-onix-ltz-automatico-14-_JM#position=5&search_layout=grid&type=item&tracking_id=0dbae5ac-da5c-4320-bc64-4ab7aca9d718
Chevrolet Onix,58.500.000,2022,"8,200",Rojo,Gasolina,Norte De Santander,https://articulo.tucarro.com.co/MCO-2205179378-chevrolet-onix-10-aut-2022-_JM#position=6&search_layout=grid&type=item&tracking_id=0dbae5ac-da5c-4320-bc64-4ab7aca9d718
Chevrolet Onix,62.500.000,2021,"26,808",Rojo,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-1391872625-chevrolet-onix-rs-mt-1000cc-5p-t-6ab-abs-_JM#position=8&search_layout=grid&type=item&tracking_id=0dbae5ac-da5c-4320-bc64-4ab7aca9d718
Chevrolet Onix,69.900.000,2023,"2,323",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1387814033-chevrolet-onix-rs-turbo-cc-1000-modelo-2023-mecanico-_JM#position=9&search_layout=grid&type=item&tracking_id=0dbae5ac-da5c-4320-bc64-4ab7aca9d718
Chevrolet Onix,58.500.000,2021,"34,000",Gris,Gasolina,Norte De Santander,https://articulo.tucarro.com.co/MCO-2240594956-chevrolet-onix-turbo-10t-mecanica-_JM#position=10&search_layout=grid&type=item&tracking_id=0dbae5ac-da5c-4320-bc64-4ab7aca9d718
Chevrolet Onix,52.000.000,2021,"51,700",Plateado,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2219309520-chevrolet-onix-10-turbo-ltz-_JM#position=15&search_layout=grid&type=item&tracking_id=0dbae5ac-da5c-4320-bc64-4ab7aca9d718
Chevrolet Onix,66.900.000,2023,"14,017",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2203074154-onix-rs-_JM#position=16&search_layout=grid&type=item&tracking_id=0dbae5ac-da5c-4320-bc64-4ab7aca9d718
Chevrolet Onix,61.000.000,2022,"11,980",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2240690444-chevrolet-onix-lt-turbo-automatico-_JM#position=17&search_layout=grid&type=item&tracking_id=0dbae5ac-da5c-4320-bc64-4ab7aca9d718
Chevrolet Onix,65.600.000,2023,"20,895",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2240071172-chevrolet-onix-ltz-10-turbo-sedan-at-_JM#position=19&search_layout=grid&type=item&tracking_id=0dbae5ac-da5c-4320-bc64-4ab7aca9d718
Chevrolet Onix,38.800.000,2016,"96,300",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1395842621-chevrolet-onix-ltz-tp-14-2016-_JM#position=20&search_layout=grid&type=item&tracking_id=0dbae5ac-da5c-4320-bc64-4ab7aca9d718
