car_model,price,year_model,kms,colour,fuel_type,location,url_car
Renault Duster 2.0 DYNAMIQUE 2013,39.000.000,2013,"136,769",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2300465506-renault-duster-20-dynamique-2013-_JM#position=1&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster 2.0 Dynamique 4x4,57.500.000,2020,"113,000",Blanco,Gasolina,Cundinamarca,https://articulo.tucarro.com.co/MCO-2272769354-renault-duster-20-dynamiqueintense-_JM#position=2&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster 2.0 Dynamique 4x2,45.000.000,2015,"111,352",Negro,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1407682543-renault-duster-20-dynamic-_JM#position=3&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster Oroch 1.3  Cargo ,97.000.000,2023,"1,900",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1400860165-renault-duster-oroch-13-cargo-_JM#position=4&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster 2.0 Dynamique 4x4,70.500.000,2019,"66,000",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1410293097-renault-duster-dynamique-20-4x4-_JM#position=5&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster 2.0 Dynamique,45.000.000,2015,"163,000",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1403648433-renault-duster-dynamique-2015-_JM#position=6&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster Intens FE,90.000.000,2024,"31,000",Blanco,Gasolina y gas,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1409825955-renault-duster-intens-fe-_JM#position=7&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster 1.6 Intense,87.900.000,2023,"30,000",Rojo,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1404727263-renault-duster-intens-2023-_JM#position=8&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster 1.6 Expression Mecánica,44.000.000,2017,"115,000",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2303906924-renault-duster-16-expression-_JM#position=9&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster Dynamique,44.000.000,2015,"179,452",Blanco,Gasolina y gas,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1404822283-renault-duster-dynamique-2015-_JM#position=10&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
