car_model,price,year_model,kms,colour,fuel_type,location,url_car
Mazda 2 1.5 Prime,57.990.000,2018,"30,773",Rojo,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1405233375-mazda-2-hb-prime-at-_JM#position=1&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 GRAND TOURING LX 1.5 AUT,67.300.000,2019,"32,995",Plateado,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2243504394-mazda-all-new-2-grand-touring-lx-15-aut-2019-fpq559-_JM#position=2&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 GRAND TOURING LX 1.5 AUT,71.800.000,2020,"35,705",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1406327423-mazda-all-new-2-grand-touring-lx-15-aut-2020-gpr878-_JM#position=3&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 Sedan Grand Touring Lx  New!,92.050.000,2024,0,Gris,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-2200901456-mazda-2-sedan-grand-touring-lx-new-_JM#position=4&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 1.5 Grand Touring Lx,78.000.000,2021,"21,109",Rojo,Gasolina,Boyaca,https://articulo.tucarro.com.co/MCO-2300547740-mazda-2-grand-touring-lx-1021-_JM#position=5&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 1500cc Mt Aa,64.000.000,2020,"19,000",Blanco,Gasolina,Cundinamarca,https://articulo.tucarro.com.co/MCO-2303930894-mazda-2-1500cc-mt-aa-_JM#position=6&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 GRAND TOURING LX 1.5 AUT,80.300.000,2022,"25,906",Rojo,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1412199713-mazda-all-new-2-grand-touring-lx-15-aut-2022-ksn224-_JM#position=7&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 1.5 Touring Mt Mejorado Hb,66.900.000,2022,"31,381",Gris,Gasolina,Norte De Santander,https://articulo.tucarro.com.co/MCO-2314651372-mazda-2-touring-15-mecanico-hb-mejorado-mod-2022-_JM#position=8&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 GRAND TOURING HATCHBACK,75.990.000,2023,"16,429",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1407207865-mazda-2-grand-touring-hatchback-2023-_JM#position=9&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 1.5 Prime,54.900.000,2020,"53,000",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2284258118-mazda-2-2020-15-prime-_JM#position=10&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 Grand Touring MT,61.900.0006% OFF,2019,"67,785",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2279878702-mazda-2-grand-touring-2019-_JM#position=11&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 1.5 Grand Touring Lx Sedan,73.990.000,2022,"52,134",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1404836159-mazda-2-grand-touring-lx-sedan-2022-_JM#position=12&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 1.5 Touring,53.900.000,2016,"103,712",Plateado,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2204069194-mazda-2-touring-2016-_JM#position=13&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 1.5 Touring,54.990.000,2016,"69,000",Azul,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1382692439-mazda-2-touring-2016-_JM#position=14&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 1.5 Grand Touring 4 p,116.900.000,2023,"14,686",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2320094866-mazda-2-grand-touring-2023blindado-_JM#position=15&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 1.5 Touring,59.900.000,2018,"78,060",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2276664212-mazda-2-touring-2018-_JM#position=16&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 1.5 Grand Touring,84.990.900,2023,"4,785",Rojo,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1403244713-mazda-2-grand-touring-2023-_JM#position=17&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 1.5 Touring,52.900.000,2016,"82,798",Plateado,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2203040986-mazda-2-touring-2016-_JM#position=18&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 Sedan Touring Automatico Paño Ipm 2024 ,83.500.000,2024,0,Blanco,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-2200895522-mazda-2-sedan-touring-automatico-pano-ipm-2024-_JM#position=19&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 1.5 Grand Touring Lx,75.000.000,2021,"21,109",Rojo,Gasolina,Boyaca,https://articulo.tucarro.com.co/MCO-1409129675-mazda-2-15-grand-touring-lx-_JM#position=20&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 Mt 2011,33.900.000,2011,"82,000",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2311685662-mazda-2-mt-2011-_JM#position=21&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 Touring At 2024,78.900.000,2024,"1,118",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1410831223-mazda-2-touring-at-2024-_JM#position=22&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 1.5 Touring Sedan,60.900.000,2019,"68,902",Plateado,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1393747985-mazda-2-touring-sedan-2019-_JM#position=23&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 1.5 Touring,64.000.000,2020,"43,900",Blanco,Gasolina,Atlántico,https://articulo.tucarro.com.co/MCO-2293985358-mazda-2-sedan-2020-_JM#position=24&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 1.5 Grand Touring,63.500.000,2017,"58,574",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1409106993-mazda-2-grand-touring-15-_JM#position=25&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 Hb Grand Touring Lx 2025 Mz 127 Vf,90.850.000,2024,0,Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1383099899-mazda-2-hb-grand-touring-lx-2025-mz-127-vf-_JM#position=26&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 Automático 2009,27.900.000,2009,"128,000",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1409496791-mazda-2-automatico-2009-_JM#position=27&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 1.5 15ha1c,54.000.000,2015,"59,000",Negro,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1403873981-mazda-_JM#position=28&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 215ha8 2010,30.900.000,2010,"157,978",Plateado,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2252686626-mazda-215ha8-2010-_JM#position=29&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 1.5 Touring,62.000.000,2019,"65,700",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2160829620-mazda-2-2019-15-touring-_JM#position=30&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 Sedán Grand Touring Lx 2024,85.000.000,2024,"13,500",Rojo,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2271933136-mazda-2-sedan-grand-touring-lx-2024-_JM#position=31&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 PRIME,56.000.000,2019,"44,744",Gris,Gasolina,Bolívar,https://articulo.tucarro.com.co/MCO-2315225076-mazda-2-prime-46364-_JM#position=32&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 1.5 Grand Touring Lx,63.000.000,2018,"63,200",Gris,Gasolina,Santander,https://articulo.tucarro.com.co/MCO-1403533839-mazda-2-_JM#position=33&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 1.5 Touring,60.000.000,2019,"68,000",Blanco,Gasolina,Risaralda,https://articulo.tucarro.com.co/MCO-1402741223-mazda-2-15-touring-2019-_JM#position=34&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 1.5 Touring Sedan,62.900.000,2019,"55,137",Rojo,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2251136390-mazda-2-touring-sedan-2019-_JM#position=35&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 Grand Touring LX 1.5cc TP AA,77.500.000,2022,"11,700",Rojo,Gasolina,Cundinamarca,https://articulo.tucarro.com.co/MCO-1411148347-mazda-2-grand-touring-lx-15cc-tp-aa-_JM#position=36&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
Mazda 2 TOURING SEDAN,69.930.000,2020,"28,612",Plateado,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2272752890-mazda-2-touring-sedan-2020-60060-_JM#position=37&search_layout=grid&type=item&tracking_id=117d26b4-e460-4e5f-9ce8-d97a13e53328
