car_model,price,year_model,kms,colour,fuel_type,location,url_car
Toyota Corolla Xei Sedán 2.000cc Mecánica Gasolina,87.000.000,2022,"39,000",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1397512507-toyota-corolla-xei-sedan-2000cc-mecanica-gasolina-_JM#position=1&search_layout=grid&type=item&tracking_id=f613b180-f9a9-45d3-b267-38e7f8e0d417
Toyota Corolla 1.8 Se-g,150.000.000,2023,"15,300",Blanco,Híbrido,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1394186113-toyota-corolla-cross-se-g-hibrida-_JM#position=2&search_layout=grid&type=item&tracking_id=f613b180-f9a9-45d3-b267-38e7f8e0d417
Toyota Corolla 1.8 Se-g,93.900.000,2022,"51,156",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1399587769-toyota-corolla-seg-2022-_JM#position=3&search_layout=grid&type=item&tracking_id=f613b180-f9a9-45d3-b267-38e7f8e0d417
Toyota Corolla 1.8 Se-g,142.000.000,2023,"14,000",Gris,Gasolina,Atlántico,https://articulo.tucarro.com.co/MCO-2240370752-toyota-corolla-seg-18-hibrido-blindado-2023-_JM#position=4&search_layout=grid&type=item&tracking_id=f613b180-f9a9-45d3-b267-38e7f8e0d417
Toyota Fj Cruiser 4.0 4x4,129.900.000,2008,"226,200",Negro,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2239047286-toyota-corolla-fj-cruiser-2008-_JM#position=5&search_layout=grid&type=item&tracking_id=f613b180-f9a9-45d3-b267-38e7f8e0d417
Toyota Corolla 1.8 Se-g,137.900.000,2023,"25,527",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1384103639-toyota-corolla-cross-2023-_JM#position=6&search_layout=grid&type=item&tracking_id=f613b180-f9a9-45d3-b267-38e7f8e0d417
Toyota Corolla Gasolina Seg 2020 ,85.000.000,2020,"35,000",Blanco,Gasolina,Norte De Santander,https://articulo.tucarro.com.co/MCO-1401358571-toyota-corolla-gasolina-seg-2020-_JM#position=7&search_layout=grid&type=item&tracking_id=f613b180-f9a9-45d3-b267-38e7f8e0d417
Toyota Corolla Cross Seg 1.800cc Automática Híbrido 4x2,143.000.000,2023,"37,000",Plateado,Híbrido,Santander,https://articulo.tucarro.com.co/MCO-1403026047-toyota-corolla-cross-seg-1800cc-automatica-hibrido-4x2-_JM#position=8&search_layout=grid&type=item&tracking_id=f613b180-f9a9-45d3-b267-38e7f8e0d417
Toyota Corolla Seg 2.0 At Modelo 2023 ,106.900.000,2023,"28,921",Plateado,Gasolina,Norte De Santander,https://articulo.tucarro.com.co/MCO-1403066663-toyota-corolla-seg-20-at-modelo-2023-_JM#position=9&search_layout=grid&type=item&tracking_id=f613b180-f9a9-45d3-b267-38e7f8e0d417
Toyota Corolla Xei 2.0 At Modelo 2020 ,85.900.000,2020,"42,066",Blanco,Gasolina,Norte De Santander,https://articulo.tucarro.com.co/MCO-1401879063-toyota-corolla-xei-20-at-modelo-2020-_JM#position=10&search_layout=grid&type=item&tracking_id=f613b180-f9a9-45d3-b267-38e7f8e0d417
Toyota Corolla 1.8 Se-g,99.900.000,2022,"48,800",Gris,Híbrido,Antioquia,https://articulo.tucarro.com.co/MCO-1401518925-toyota-corolla-seg-_JM#position=11&search_layout=grid&type=item&tracking_id=f613b180-f9a9-45d3-b267-38e7f8e0d417
Toyota Corolla Seg Modelo 2020 ,90.900.000,2020,"53,270",Marrón,Gasolina,Norte De Santander,https://articulo.tucarro.com.co/MCO-1399168715-toyota-corolla-seg-modelo-2020-_JM#position=12&search_layout=grid&type=item&tracking_id=f613b180-f9a9-45d3-b267-38e7f8e0d417
Toyota Corolla Croos Seg Hv,162.000.000,2024,0,Plateado,Híbrido,Antioquia,https://articulo.tucarro.com.co/MCO-2268739526-toyota-corolla-croos-seg-hv-_JM#position=13&search_layout=grid&type=item&tracking_id=f613b180-f9a9-45d3-b267-38e7f8e0d417
Toyota Corolla 1.8 Se-g,105.900.000,2022,"35,000",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1396762355-toyota-corolla-seg-hibrido-2022-_JM#position=14&search_layout=grid&type=item&tracking_id=f613b180-f9a9-45d3-b267-38e7f8e0d417
Toyota Corolla Hybrid SEG,105.500.000,2022,"36,000",Plateado,Híbrido,Norte De Santander,https://articulo.tucarro.com.co/MCO-1401325585-toyota-corolla-seg-hybrid-2021-_JM#position=15&search_layout=grid&type=item&tracking_id=f613b180-f9a9-45d3-b267-38e7f8e0d417
Toyota Corolla .,39.999.000,2013,"116,762",Negro,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1400637989-toyota-corolla-2013-_JM#position=16&search_layout=grid&type=item&tracking_id=f613b180-f9a9-45d3-b267-38e7f8e0d417
