car_model,price,year_model,kms,colour,fuel_type,location,url_car
Chevrolet Onix 1.0t Automática,69.500.000,2023,"12,500",Plateado,Gasolina,Atlántico,https://articulo.tucarro.com.co/MCO-2272383198-chevrolet-onix-turbo-premier-2023-_JM#position=1&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix Lt 1.0,52.900.000,2021,"38,000",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1397551627-chevrolet-onix-lt-10-_JM#position=2&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix 1.4 Ltz Aut,46.000.000,2019,"56,000",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2212880860-chevrolet-onix-14-ltz-aut-2019-_JM#position=3&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix 1.4 Ltz,43.000.000,2016,"47,096",Blanco,Gasolina,Nariño,https://articulo.tucarro.com.co/MCO-2257666376-chevrolet-onix-ltz-automatico-14-_JM#position=4&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix 1.0t Mecánica,58.500.000,2022,"8,200",Rojo,Gasolina,Norte De Santander,https://articulo.tucarro.com.co/MCO-1402754321-chevrolet-onix-10-aut-2022-_JM#position=5&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix Lt At 1.0 2023 ,60.900.000,2023,"1,110",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1404486901-chevrolet-onix-lt-at-10-2023-_JM#position=6&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix 1.0 Premier Turbo 2021,65.000.000,2021,"33,627",Gris,Gasolina,Risaralda,https://articulo.tucarro.com.co/MCO-1404317531-chevrolet-onix-10-premier-turbo-2021-_JM#position=7&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix 1.4 Lt,52.000.000,2020,"41,921",Blanco,Gasolina,Boyaca,https://articulo.tucarro.com.co/MCO-1398110261-chevrolet-onix-ltz-1384-2020-_JM#position=8&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix 1.0t Mecánica,58.500.000,2021,"34,000",Gris,Gasolina,Norte De Santander,https://articulo.tucarro.com.co/MCO-2240594956-chevrolet-onix-turbo-10t-mecanica-_JM#position=9&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix Turbo Rs,85.990.000,2023,0,N/A,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-1404199035-chevrolet-onix-turbo-rs-_JM#position=10&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix Premeir At 1.0t 2022,58.900.000,2022,"44,000",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1404405641-chevrolet-onix-premeir-at-10t-2022-_JM#position=11&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix LTZ AT 1.4 2020,48.900.000,2020,"45,000",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2272795818-chevrolet-onix-ltz-at-14-2020-_JM#position=12&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix LTZ AT 1.4 2020,48.900.000,2020,"42,000",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1404356033-chevrolet-onix-ltz-at-14-2020-_JM#position=13&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix 1.4 Ltz,38.900.000,2016,"49,000",Plateado,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2267166902-chevrolet-onix-hb-ltz-mt-1400-_JM#position=14&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix Premier At 1.0 Turbo 2021,59.000.000,2021,"82,300",Gris,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-2259800656-chevrolet-onix-premier-at-10-turbo-2021-_JM#position=15&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix 1.0t Automática,52.000.000,2021,"51,700",Plateado,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2219309520-chevrolet-onix-10-turbo-ltz-_JM#position=16&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix 1.0T Rs Mt,66.900.000,2023,"14,017",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2203074154-onix-rs-_JM#position=17&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix 1.0t Mecánica,61.000.000,2022,"11,980",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2240690444-chevrolet-onix-lt-turbo-automatico-_JM#position=18&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix Ltz At 1.0 2021,53.900.000,2021,"46,000",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1404405125-chevrolet-onix-ltz-at-10-2021-_JM#position=19&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix Rs 1.0 Turbo M/t,68.600.000,2023,"16,946",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2264049668-chevrolet-onix-rs-10-turbo-mt-_JM#position=20&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix Ltz At 1.0 2022,58.900.000,2022,"25,000",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2261644270-chevrolet-onix-ltz-at-10-2022-_JM#position=21&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix 1.4 Ltz,40.900.000,2018,"83,383",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1402386549-chevrolet-onix-ltz-2018-_JM#position=22&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix Lt At 1.0 Turbo,60.900.000,2023,"1,110",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2240716858-chevrolet-onix-lt-at-10-turbo-_JM#position=23&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix Ltz 1.0 Turbo Sedan A/t,64.600.000,2023,"20,895",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2240071172-chevrolet-onix-ltz-10-turbo-sedan-at-_JM#position=24&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix 1.4 Ltz,38.200.000,2016,"96,300",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1404156581-chevrolet-onix-ltz-tp-14-2016-_JM#position=25&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix 1.4 Ltz Automática,44.990.000,2017,"74,800",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1395071529-chevrolet-onix-ltz-_JM#position=26&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix Turbo ,88.990.000,2024,0,Rojo,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2247249380-chevrolet-onix-turbo-_JM#position=27&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Ónix Ltz 1.0cc Turbo Tp Aa ,55.000.000,2021,"58,000",Plateado,Gasolina,Cundinamarca,https://articulo.tucarro.com.co/MCO-1397834243-chevrolet-onix-ltz-10cc-turbo-tp-aa-_JM#position=28&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix ONIX RS 1.0 TURBO M/T,73.900.000,2023,"2,175",Negro,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2182115442-chevrolet-onix-rs-turbo-10-hb-mt-_JM#position=29&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix Ltz 1.0 Turbo A/t 4p,59.600.000,2021,"42,144",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2182308398-chevrolet-onix-ltz-10-turbo-at-4p-_JM#position=30&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix 1.0t Automática,59.900.000,2021,"22,000",Plateado,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1394184229-chevrolet-onix-premiere-2021-_JM#position=31&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix Turbo Premier 1.0cc At Aa ,70.500.000,2023,"18,600",Plateado,Gasolina,Cundinamarca,https://articulo.tucarro.com.co/MCO-2252640620-chevrolet-onix-turbo-premier-10cc-at-aa-_JM#position=32&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix 1.0t Automática,62.900.000,2021,"22,000",Plateado,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2215489144-chevrolet-onix-premiun-rien-17-spoiler-_JM#position=33&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix ONIX LTZ SEDAN 1.4 M/T,40.900.000,2019,"96,585",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2252660120-chevrolet-onix-ltz-14-mt-mcm-sedan-_JM#position=34&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix 1.0t Mecánica,65.000.000,2023,"23,000",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2135239314-chevrolet-onix-2023-10t-mecanica-_JM#position=35&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix Lt Sedan 1.0 Turbo M/t,63.900.000,2023,"8,973",Plateado,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2194367578-chevrolet-onix-lt-sedan-10-turbo-mt-_JM#position=36&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix 1.4 Ltz Aut,44.000.000,2018,"59,000",Rojo,Gasolina,Risaralda,https://articulo.tucarro.com.co/MCO-2249555376-chevrolet-onix-ltz-_JM#position=37&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix 1.0t Automática,69.900.000,2023,"14,800",Blanco,Gasolina,Atlántico,https://articulo.tucarro.com.co/MCO-1399737083-chevrolet-onix-premier-turbo-11-_JM#position=38&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix Premier Aut,69.990.000,2023,"20,000",N/A,Gasolina y gas,Antioquia,https://articulo.tucarro.com.co/MCO-1387625829-chevrolet-onix-premier-aut-_JM#position=39&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet   Onix   Rs,56.900.000,2021,"31,730",Rojo,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1395116749-chevrolet-onix-rs-_JM#position=40&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix 1.0T Rs Mt,71.900.000,2023,"5,761",Negro,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1395149757-chevrolet-onix-rs-_JM#position=41&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix (2) Ltz 1000cc Tp T 4p 6ab Abs ,64.900.000,2023,"11,426",Plateado,Gasolina,Cundinamarca,https://articulo.tucarro.com.co/MCO-2267154472-chevrolet-onix-2-ltz-1000cc-tp-t-4p-6ab-abs-_JM#position=42&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix 1.4 Ltz 5 p,38.900.000,2018,"76,800",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1402822051-chevrolet-onix-_JM#position=43&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix 1.0t Automática,54.000.000,2021,"32,000",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2239132114-chevrolet-onix-2021-10t-automatica-_JM#position=44&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix 1.0 Premier Turbo,59.800.000,2021,"38,000",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2247227032-chevrolet-onix-10-premier-turbo-_JM#position=45&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix Lt 1.000cc A/t C/a 2023,61.900.000,2023,"1,500",Plateado,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1398305707-chevrolet-onix-lt-1000cc-at-ca-2023-_JM#position=46&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
Chevrolet Onix 1.0t Mecánica,61.000.000,2023,"18,000",N/A,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-1404321241-chevrolet-onix-2023-10t-mecanica-_JM#position=47&search_layout=grid&type=item&tracking_id=1cbdb38c-c89d-44cd-9ee8-584d9e151294
