car_model,price,year_model,kms,colour,fuel_type,location,url_car
Suzuki Swift 1.2 Dzire,62.710.000,2023,0,Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1387797623-suzuki-dzire-_JM#position=1&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift Hibrido Mt 100% Japonés 2024,78.570.000,2022,0,Gris,Híbrido,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1381602399-suzuki-swift-hibrido-mt-100-japones-2024-_JM#position=2&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki New Swift Híbrido Mt Sin Pico/placa 2024,78.570.000,2022,0,Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1381627877-suzuki-new-swift-hibrido-mt-sin-picoplaca-2024-_JM#position=3&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift Hybrid Sin Pico Y Placa Modelo 2024  ,78.570.000,2022,0,Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1381602447-suzuki-swift-hybrid-sin-pico-y-placa-modelo-2024-_JM#position=4&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift 1.2 Dzire,59.500.000,2023,0,Plateado,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1381627771-suzuki-swift-dzire-gl-sedan-espacio-diseno-economia-_JM#position=5&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift DZIRE,56.530.000,2023,"26,641",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1404309789-suzuki-swift-dzire-2023-59067-_JM#position=6&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift 1.4 Gl,47.000.000,2017,"76,000",Gris,Gasolina,Risaralda,https://articulo.tucarro.com.co/MCO-2257690062-suzuki-swift-2017-_JM#position=7&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift 1.2 AT,37.500.000,2016,"80,506",Plateado,Gasolina,Risaralda,https://articulo.tucarro.com.co/MCO-1399202159-suzuki-swift-12-at-2016-_JM#position=8&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift 1.2 Dzire,50.900.000,2023,"22,000",Gris,Gasolina,Cundinamarca,https://articulo.tucarro.com.co/MCO-2276831624-suzuki-swift-dzire-12-_JM#position=9&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift Suzuki Swift 1.2 Hybrid,78.000.000,2024,0,Plateado,Híbrido,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1405197743-suzuki-swift-hybrid-12-_JM#position=10&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
