car_model,price,year_model,kms,colour,fuel_type,location,url_car
Toyota Corolla 1.6 Xli,39.900.000,2011,"119,116",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2211721698-toyota-corolla-2011-_JM#position=1&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
Toyota Corolla 1.8 Se-g,111.900.000,2022,"34,077",Gris,Híbrido,Antioquia,https://articulo.tucarro.com.co/MCO-2208066164-toyota-corolla-seg-hybrid-2022-_JM#position=2&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
Toyota Corolla Se G Xl-i Modelo 2022 Id 45881,87.900.000,2022,"28,566",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1381003003-toyota-corolla-se-g-xl-i-modelo-2022-id-45881-_JM#position=3&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
Toyota Corolla Hybrid At 1.8 2021,96.900.000,2021,"25,000",N/A,Híbrido,Antioquia,https://articulo.tucarro.com.co/MCO-1409319787-toyota-corolla-hybrid-at-18-2021-_JM#position=4&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
Toyota Corolla 1.8 Se-g,149.000.000,2023,"7,000",Blanco,Híbrido,Antioquia,https://articulo.tucarro.com.co/MCO-1407359715-toyota-corolla-cross-seg-_JM#position=5&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
Toyota Corolla Seg Blindado 2plus Mod 2023,139.900.000,2023,"32,397",Blanco,Gasolina,Norte De Santander,https://articulo.tucarro.com.co/MCO-2291302222-toyota-corolla-seg-blindado-2plus-mod-2023-_JM#position=6&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
Toyota Corollacross 46320,119.000.000,2023,"12,350",Rojo,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2279607916-toyota-corollacross-46320-_JM#position=7&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
Toyota Corolla Cross 2.0 Xei,127.000.000,2023,"25,000",Blanco,Gasolina,Tolima,https://articulo.tucarro.com.co/MCO-1402739031-toyota-corolla-cross-20-xei-_JM#position=8&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
Toyota Corolla Cross Seg Hibrida,130.999.000,2022,"44,000",Azul,Híbrido,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1402627467-toyota-corolla-cross-seg-hibrida-_JM#position=9&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
Toyota Corolla 1.8 Se-g,136.900.000,2023,"14,190",Blanco,Híbrido,Antioquia,https://articulo.tucarro.com.co/MCO-1389852943-toyota-corolla-seg-hybrid-2023-_JM#position=10&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
Toyota Corolla Cross Seg Híbrido,161.000.000,2024,0,Blanco,Híbrido,Antioquia,https://articulo.tucarro.com.co/MCO-2272757994-toyota-corolla-cross-seg-hibrido-_JM#position=11&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
Toyota Corolla 1.8 Xe-i,99.990.000,2022,"18,688",Plateado,Híbrido,Antioquia,https://articulo.tucarro.com.co/MCO-1409522723-toyota-corolla-xei-hybrid-2022-_JM#position=12&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
Toyota Corolla 1.8 Se-g,124.900.000,2021,"58,919",Blanco,Híbrido,Antioquia,https://articulo.tucarro.com.co/MCO-1399659585-toyota-corolla-seg-hybrid-2021-_JM#position=13&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
Toyota Corolla Cross Hibrido 2024 Nueva 20 Km Unica Dueña,169.900.000,2024,20,Blanco,Híbrido,Antioquia,https://articulo.tucarro.com.co/MCO-1407256641-toyota-corolla-cross-hibrido-2024-nueva-20-km-unica-duena-_JM#position=14&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
Toyota Corolla Se-g 2020,84.000.000,2020,"55,000",Plateado,Gasolina,Risaralda,https://articulo.tucarro.com.co/MCO-2300436374-toyota-corolla-se-g-2020-_JM#position=15&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
Toyota Corolla Cross Seg Hibrida At Mod 2023 ,139.900.000,2023,"36,059",Gris,Híbrido,Norte De Santander,https://articulo.tucarro.com.co/MCO-1407362959-toyota-corolla-cross-seg-hibrida-at-mod-2023-_JM#position=16&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
Toyota Corolla 1.8 Se-g,82.900.000,2019,"30,185",Blanco,Gasolina,Norte De Santander,https://articulo.tucarro.com.co/MCO-2288651780-toyota-corolla-seg-18-at-mod-2019-_JM#position=17&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
Toyota Corolla Seg Modelo 2020 ,90.900.000,2020,"53,270",Marrón,Gasolina,Norte De Santander,https://articulo.tucarro.com.co/MCO-2277941080-toyota-corolla-seg-modelo-2020-_JM#position=18&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
Toyota Corolla 1.8 Se-g,131.000.000,2022,"16,000",Plateado,Gasolina,Santander,https://articulo.tucarro.com.co/MCO-2259402152-toyota-corolla-cross-_JM#position=19&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
Toyota Corolla 1.8 Se-g,104.000.000,2021,"35,000",Gris,Híbrido,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2261175362-toyota-18-se-g-_JM#position=20&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
