car_model,price,year_model,kms,colour,fuel_type,location,url_car
Suzuki Swift  1200cc Mt Aa,58.000.000,2021,"19,000",Rojo,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2251139504-suzuki-swift-1200cc-mt-aa-_JM#position=1&search_layout=grid&type=item&tracking_id=8d9de70f-d766-40c8-aa1d-502c0003fb54
Suzuki Swift Hibrido Mt  Precio Exclusivo ,78.500.000,2024,0,Azul,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1381627995-suzuki-swift-hibrido-mt-precio-exclusivo-_JM#position=2&search_layout=grid&type=item&tracking_id=8d9de70f-d766-40c8-aa1d-502c0003fb54
Suzuki Swift 1.2 Dzire Mec Full Equipo 100% Financiacion,49.990.000,2023,"25,350",Plateado,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1410264823-suzuki-swift-12-dzire-mec-full-equipo-100-financiacion-_JM#position=3&search_layout=grid&type=item&tracking_id=8d9de70f-d766-40c8-aa1d-502c0003fb54
Suzuki Swift Suzuki Swift 1.2 Dzire Aut Sedan Full Equipo,48.990.000,2022,"36,600",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1410251667-suzuki-swift-12-dzire-aut-sedan-full-equipo-_JM#position=4&search_layout=grid&type=item&tracking_id=8d9de70f-d766-40c8-aa1d-502c0003fb54
Suzuki Swift 1.2 Dzire Aut Full Equipo 100% Financiacion,48.990.000,2022,"30,199",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1409403369-suzuki-swift-12-dzire-aut-full-equipo-100-financiacion-_JM#position=5&search_layout=grid&type=item&tracking_id=8d9de70f-d766-40c8-aa1d-502c0003fb54
Suzuki Swift SWIFT DZIRE AUT,54.900.000,2023,"27,571",Gris,Gasolina y gas,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1405966483-suzuki-swift-dzire-aut-_JM#position=6&search_layout=grid&type=item&tracking_id=8d9de70f-d766-40c8-aa1d-502c0003fb54
Suzuki Swift 1.2 Dzire,52.900.000,2023,"33,698",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1405539787-suzuki-swift-dzire-12-mt-2023-_JM#position=7&search_layout=grid&type=item&tracking_id=8d9de70f-d766-40c8-aa1d-502c0003fb54
Suzuki Swift Hybrid 1.3 Mec Fwd 2022 198,64.000.000,2022,"25,000",Gris,Híbrido,Risaralda,https://articulo.tucarro.com.co/MCO-1402807221-suzuki-swift-hybrid-13-mec-fwd-2022-198-_JM#position=8&search_layout=grid&type=item&tracking_id=8d9de70f-d766-40c8-aa1d-502c0003fb54
Suzuki Swift 1200cc Mt Aa,48.000.000,2021,"30,000",Rojo,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2267237772-suzuki-swift-1200cc-mt-aa-_JM#position=9&search_layout=grid&type=item&tracking_id=8d9de70f-d766-40c8-aa1d-502c0003fb54
Suzuki Swift Hibrido,79.070.000,2024,0,Blanco,Híbrido,Antioquia,https://articulo.tucarro.com.co/MCO-1387759097-suzuki-swift-hibrido-_JM#position=10&search_layout=grid&type=item&tracking_id=8d9de70f-d766-40c8-aa1d-502c0003fb54
