car_model,price,year_model,kms,colour,fuel_type,location,url_car
Toyota Fj Cruiser 4.0 4x4,129.900.000,2008,"226,200",Negro,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2239047286-toyota-corolla-fj-cruiser-2008-_JM#position=1&search_layout=grid&type=item&tracking_id=08ece0ec-9df4-4b7f-bb3c-98ef72b89c3a
Toyota Corolla 1.8 Se-g,137.900.000,2023,"25,527",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1384103639-toyota-corolla-cross-2023-_JM#position=2&search_layout=grid&type=item&tracking_id=08ece0ec-9df4-4b7f-bb3c-98ef72b89c3a
Toyota Corolla Xei 2.0 At Modelo 2020 ,85.900.000,2020,"42,066",Blanco,Gasolina,Norte De Santander,https://articulo.tucarro.com.co/MCO-2314663040-toyota-corolla-xei-20-at-modelo-2020-_JM#position=3&search_layout=grid&type=item&tracking_id=08ece0ec-9df4-4b7f-bb3c-98ef72b89c3a
Toyota Corolla Seg Blindado 2plus Mod 2023,139.900.000,2023,"32,397",Blanco,Gasolina,Norte De Santander,https://articulo.tucarro.com.co/MCO-2311778064-toyota-corolla-seg-blindado-2plus-mod-2023-_JM#position=4&search_layout=grid&type=item&tracking_id=08ece0ec-9df4-4b7f-bb3c-98ef72b89c3a
Toyota Corolla Seg Modelo 2020 ,90.900.000,2020,"53,270",Marrón,Gasolina,Norte De Santander,https://articulo.tucarro.com.co/MCO-2308700200-toyota-corolla-seg-modelo-2020-_JM#position=5&search_layout=grid&type=item&tracking_id=08ece0ec-9df4-4b7f-bb3c-98ef72b89c3a
Toyota Corolla 1.8 Se-g,136.500.000,2022,"49,000",Gris,Híbrido,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2277755140-toyota-corolla-cross-se-g-hibrida-2022-_JM#position=6&search_layout=grid&type=item&tracking_id=08ece0ec-9df4-4b7f-bb3c-98ef72b89c3a
Toyota Corolla Croos Seg Hv,162.000.000,2024,0,Plateado,Híbrido,Antioquia,https://articulo.tucarro.com.co/MCO-2268739526-toyota-corolla-croos-seg-hv-_JM#position=7&search_layout=grid&type=item&tracking_id=08ece0ec-9df4-4b7f-bb3c-98ef72b89c3a
Toyota Corolla 1.8 Se-g,105.900.000,2022,"35,000",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1396762355-toyota-corolla-seg-hibrido-2022-_JM#position=8&search_layout=grid&type=item&tracking_id=08ece0ec-9df4-4b7f-bb3c-98ef72b89c3a
Toyota Corolla 1.6 Xli,39.900.000,2011,"119,116",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2211721698-toyota-corolla-2011-_JM#position=9&search_layout=grid&type=item&tracking_id=08ece0ec-9df4-4b7f-bb3c-98ef72b89c3a
Toyota Corolla 1.8 Se-g,111.900.000,2022,"34,077",Gris,Híbrido,Antioquia,https://articulo.tucarro.com.co/MCO-2208066164-toyota-corolla-seg-hybrid-2022-_JM#position=10&search_layout=grid&type=item&tracking_id=08ece0ec-9df4-4b7f-bb3c-98ef72b89c3a
