car_model,price,year_model,kms,colour,fuel_type,location,url_car
Chevrolet Onix 1.0T Rs Mt,59.600.000,2022,"30,056",Negro,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1410207989-chevrolet-onix-rs-turbo-10-5p-2022-kwq018-_JM#position=1&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix 1.0t Automática,52.900.000,2021,"38,500",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1412033191-chevrolet-onix-turbo-lt-tp-10-2021-_JM#position=2&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix 1.4 Ltz Automática,39.990.000,2017,"79,000",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2315281914-chevrolet-onix-ltz-_JM#position=3&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix 1.0t Mecánica,60.500.000,2021,"42,925",Plateado,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-1411319505-chevrolet-onix-lt-turbo-ac-10-4p-4x2-tm-_JM#position=4&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix 1.0t Automática,72.200.000,2023,"23,501",Gris,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-1409619749-chevrolet-onix-2-ltz-tp-1000cc-ap-6ab-abs-_JM#position=5&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix 1.0t Automática,69.000.000,2021,"17,310",Plateado,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-2275306018-chevrolet-onix-premier-turbo-ac-10-4p-4x2-ta-_JM#position=6&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix 1.4 Lt,48.000.000,2020,"41,921",Blanco,Gasolina,Boyaca,https://articulo.tucarro.com.co/MCO-2303902204-chevrolet-onix-ltz-1384-2020-_JM#position=7&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix 1.0t Mecánica,58.500.000,2021,"34,000",Gris,Gasolina,Norte De Santander,https://articulo.tucarro.com.co/MCO-1410590585-chevrolet-onix-turbo-10t-mecanica-_JM#position=8&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix Turbo Rs,84.990.000,2023,0,N/A,Gasolina,N/A,https://articulo.tucarro.com.co/MCO-1404199035-chevrolet-onix-turbo-rs-_JM#position=9&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix Ltz At 1.0 2022,58.900.000,2022,"29,000",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1411538515-chevrolet-onix-ltz-at-10-2022-_JM#position=10&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix 1.0t Mecánica,53.900.000,2021,"26,700",Plateado,Gasolina y gas,Antioquia,https://articulo.tucarro.com.co/MCO-1412006827-chevrolet-onix-lt-mt-10-2021-_JM#position=11&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix 1.0t Automática,58.900.000,2022,"44,000",Rojo,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1409810685-chevrolet-onix-premier-at-_JM#position=12&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix 1.4 Ltz,48.900.000,2020,"42,000",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1409820425-chevrolet-onix-ltz-at-2020-_JM#position=13&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix 1.4 Lt,47.990.000,2020,"24,645",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1409082105-chevrolet-onix-2020-_JM#position=14&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix 1.0T Rs Mt,67.990.000,2023,"13,530",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2293683038-chevrolet-onix-rs-turbo-2023-_JM#position=15&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix 1.4 Ltz,38.400.000,2016,"49,000",Plateado,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2267166902-chevrolet-onix-hb-ltz-mt-1400-_JM#position=16&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix Premier At 1.0 Turbo 2021,59.000.000,2021,"82,300",Gris,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-2259800656-chevrolet-onix-premier-at-10-turbo-2021-_JM#position=17&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix 1.0t Automática,52.000.000,2021,"51,700",Plateado,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2281971390-chevrolet-onix-10-turbo-ltz-_JM#position=18&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix 1.0t Mecánica,58.900.000,2022,"11,980",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2305542908-chevrolet-onix-lt-turbo-automatico-_JM#position=19&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix 1.4 Ltz,48.900.000,2020,"45,000",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2308728540-chevrolet-onix-ltz-at-14-2020-_JM#position=20&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix 1.0t Automática,58.900.000,2022,"25,000",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1409907775-chevrolet-onix-ltz-at-10-2022-_JM#position=21&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix 1.4 Ltz,37.900.000,2016,"96,300",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1411994319-chevrolet-onix-ltz-tp-14-2016-_JM#position=22&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix 1.4 Ltz Automática,39.900.000,2017,"91,200",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1412032925-chevrolet-onix-ltz-tp-14-2017-_JM#position=23&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix Rs 1.0 Turbo M/t,68.600.000,2023,"16,946",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2264049668-chevrolet-onix-rs-10-turbo-mt-_JM#position=24&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix Ltz 1.0 Turbo Sedan A/t,64.900.000,2023,"20,895",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2240071172-chevrolet-onix-ltz-10-turbo-sedan-at-_JM#position=25&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix Turbo ,88.990.000,2024,0,Rojo,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2247249380-chevrolet-onix-turbo-_JM#position=26&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Ónix Ltz 1.0cc Turbo Tp Aa ,52.000.000,2021,"58,000",Plateado,Gasolina,Cundinamarca,https://articulo.tucarro.com.co/MCO-2317166400-chevrolet-onix-ltz-10cc-turbo-tp-aa-_JM#position=27&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix ONIX RS 1.0 TURBO M/T,73.900.000,2023,"2,175",Negro,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2182115442-chevrolet-onix-rs-turbo-10-hb-mt-_JM#position=28&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix Ltz 1.0 Turbo A/t 4p,59.600.000,2021,"42,144",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2182308398-chevrolet-onix-ltz-10-turbo-at-4p-_JM#position=29&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix RS 1.0 TURBO,75.600.000,2024,98,Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2282296416-chevrolet-onix-rs-turbo-15-mt-hatch-back-_JM#position=30&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix 1.0 Rs Turbo,63.900.000,2023,"22,000",Blanco,Gasolina,Risaralda,https://articulo.tucarro.com.co/MCO-1407607759-chevrolet-onix-turbo-rs-mt-10cc-2023-_JM#position=31&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix Ltz,69.930.000,2023,"7,355",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2272726240-chevrolet-onix-ltz-2023-60608-_JM#position=32&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix 1.0t Mecánica,65.000.000,2023,"23,000",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2135239314-chevrolet-onix-2023-10t-mecanica-_JM#position=33&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix Lt Sedan 1.0 Turbo M/t,63.900.000,2023,"8,973",Plateado,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2194367578-chevrolet-onix-lt-sedan-10-turbo-mt-_JM#position=34&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix 1.4 Ltz 4 p,45.900.0008% OFF,2019,"76,261",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2282259442-chevrolet-onix-ltz-4p-2019-_JM#position=35&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix Ltz  1400cc At Aa,42.800.000,2017,"52,300",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1407606131-chevrolet-onix-ltz-1400cc-at-aa-_JM#position=36&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix 1.0T Rs Mt,65.500.000,2023,"1,951",Plateado,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2314665290-chevrolet-onix-turbo-modelo-2023-_JM#position=37&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix Ltz,44.900.000,2019,"43,132",Plateado,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1409234183-chevrolet-onix-ltz-_JM#position=38&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix 1.0T Rs Mt,73.900.000,2023,"5,761",Negro,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1395149757-chevrolet-onix-rs-_JM#position=39&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix 1.4 Ltz Aut,46.900.000,2020,"51,000",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2311720368-chevrolet-onix-2020-14-ltz-aut-_JM#position=40&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
Chevrolet Onix 1.0 Premier Turbo,59.800.000,2021,"38,000",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2247227032-chevrolet-onix-10-premier-turbo-_JM#position=41&search_layout=grid&type=item&tracking_id=e5d4b46a-d8d1-4aa7-bf19-7d6e39e24e17
