car_model,price,year_model,kms,colour,fuel_type,location,url_car
Mazda 2 Sedan Grand Touring Lx  New!,92.050.000,2024,0,Gris,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-2200901456-mazda-2-sedan-grand-touring-lx-new-_JM#position=1&search_layout=grid&type=item&tracking_id=5bc6fd68-c7c0-4716-b683-8b456345e863
Mazda 2 1.5 Grand Touring Lx,78.000.000,2021,"21,109",Rojo,Gasolina,Boyaca,https://articulo.tucarro.com.co/MCO-2232847500-mazda-2-grand-touring-lx-1021-_JM#position=2&search_layout=grid&type=item&tracking_id=5bc6fd68-c7c0-4716-b683-8b456345e863
Mazda 2 1500cc Mt Aa,64.000.000,2020,"18,000",Blanco,Gasolina,Cundinamarca,https://articulo.tucarro.com.co/MCO-1397741759-mazda-2-1500cc-mt-aa-_JM#position=3&search_layout=grid&type=item&tracking_id=5bc6fd68-c7c0-4716-b683-8b456345e863
Mazda 2 1.5 Grand Touring 5 p,69.990.000,2021,"46,564",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1400860969-mazda-2-grand-touring-2021-_JM#position=4&search_layout=grid&type=item&tracking_id=5bc6fd68-c7c0-4716-b683-8b456345e863
Mazda 2 1.5 Touring,53.900.000,2016,"103,712",Plateado,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2204069194-mazda-2-touring-2016-_JM#position=5&search_layout=grid&type=item&tracking_id=5bc6fd68-c7c0-4716-b683-8b456345e863
Mazda 2 1.5 Touring,54.990.000,2016,"69,000",Azul,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1382692439-mazda-2-touring-2016-_JM#position=6&search_layout=grid&type=item&tracking_id=5bc6fd68-c7c0-4716-b683-8b456345e863
Mazda 2 1.5 Grand Touring,63.900.000,2018,"65,933",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1381649949-mazda-2-grand-touring-2018-_JM#position=7&search_layout=grid&type=item&tracking_id=5bc6fd68-c7c0-4716-b683-8b456345e863
Mazda 2 GRAND TOURING HATCHBACK,76.900.000,2023,"16,429",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2228677568-mazda-2-grand-touring-hatchback-2023-_JM#position=8&search_layout=grid&type=item&tracking_id=5bc6fd68-c7c0-4716-b683-8b456345e863
Mazda 2 1.5 Touring,52.900.000,2016,"82,798",Plateado,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2203040986-mazda-2-touring-2016-_JM#position=9&search_layout=grid&type=item&tracking_id=5bc6fd68-c7c0-4716-b683-8b456345e863
Mazda 2 Sedan Touring Automatico Paño Ipm 2024 ,83.500.000,2024,0,Blanco,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-2200895522-mazda-2-sedan-touring-automatico-pano-ipm-2024-_JM#position=10&search_layout=grid&type=item&tracking_id=5bc6fd68-c7c0-4716-b683-8b456345e863
Mazda 2 Mazda 2,37.400.000,2014,"127,808",Plateado,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-1388212967-mazda-2-2014-43828-_JM#position=11&search_layout=grid&type=item&tracking_id=5bc6fd68-c7c0-4716-b683-8b456345e863
Mazda 2 1.5 Grand Touring Lx,78.000.000,2021,"21,109",Rojo,Gasolina,Boyaca,https://articulo.tucarro.com.co/MCO-1398157163-mazda-2-15-grand-touring-lx-_JM#position=12&search_layout=grid&type=item&tracking_id=5bc6fd68-c7c0-4716-b683-8b456345e863
Mazda 2 2021,60.900.000,2021,"31,000",0,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2255495012-mazda-2-2021-_JM#position=13&search_layout=grid&type=item&tracking_id=5bc6fd68-c7c0-4716-b683-8b456345e863
