car_model,price,year_model,kms,colour,fuel_type,location,url_car
Renault Duster 1.6 Expression Mecánica,51.000.000,2017,"179,442",Blanco,Gasolina y gas,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1399251577-renault-duster-expression-2017-_JM#position=1&search_layout=grid&type=item&tracking_id=85fe5f49-e3b8-4a61-a927-ff6a7c2cd9c0
Renault Duster 1.3 iconic Mt 4x4,90.000.000,2023,"19,800",N/A,N/A,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1395821669-renault-duster-iconic-mt-13-_JM#position=2&search_layout=grid&type=item&tracking_id=85fe5f49-e3b8-4a61-a927-ff6a7c2cd9c0
Renault Duster 1.3 Intense Cvt,83.900.000,2023,"15,000",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2219212460-renault-duster-13-_JM#position=3&search_layout=grid&type=item&tracking_id=85fe5f49-e3b8-4a61-a927-ff6a7c2cd9c0
Renault Duster 2.0 Dynamique 4x4,52.000.000,2017,"150,000",N/A,N/A,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1404216783-renault-duster-dynamique-20-4x4-_JM#position=4&search_layout=grid&type=item&tracking_id=85fe5f49-e3b8-4a61-a927-ff6a7c2cd9c0
Renault Duster 1.3 Intense Mt 4x4,102.000.000,2023,"13,681",Rojo,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1393699763-renault-duster-intens-mt-13-_JM#position=5&search_layout=grid&type=item&tracking_id=85fe5f49-e3b8-4a61-a927-ff6a7c2cd9c0
Renault Duster 2.0 Dynamique 4x2,43.500.000,2014,"75,800",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2261445676-renault-duster-_JM#position=6&search_layout=grid&type=item&tracking_id=85fe5f49-e3b8-4a61-a927-ff6a7c2cd9c0
Renault Duster Tripadvisor ,64.000.000,2018,"37,353",Plateado,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1401588147-renault-duster-tripadvisor-_JM#position=7&search_layout=grid&type=item&tracking_id=85fe5f49-e3b8-4a61-a927-ff6a7c2cd9c0
Renault Duster 1.3 Intens 4x4,79.900.000,2022,"47,000",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2267189530-renault-duster-13-intens-4x4-2022-_JM#position=8&search_layout=grid&type=item&tracking_id=85fe5f49-e3b8-4a61-a927-ff6a7c2cd9c0
Renault Duster 2.0 DYNAMIQUE 2013,39.000.000,2013,"136,769",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1397559911-renault-duster-20-dynamique-2013-_JM#position=9&search_layout=grid&type=item&tracking_id=85fe5f49-e3b8-4a61-a927-ff6a7c2cd9c0
Renault Duster 2.0 Dynamique 4x4,57.500.000,2020,"113,000",Blanco,Gasolina,Cundinamarca,https://articulo.tucarro.com.co/MCO-2272769354-renault-duster-20-dynamiqueintense-_JM#position=10&search_layout=grid&type=item&tracking_id=85fe5f49-e3b8-4a61-a927-ff6a7c2cd9c0
Renault Duster 2.0 Dynamique 4x2,45.000.000,2015,"111,352",Negro,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1396334615-renault-duster-20-dynamic-_JM#position=11&search_layout=grid&type=item&tracking_id=85fe5f49-e3b8-4a61-a927-ff6a7c2cd9c0
Renault Duster Oroch 1.3  Cargo ,97.000.000,2023,"1,900",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1400860165-renault-duster-oroch-13-cargo-_JM#position=12&search_layout=grid&type=item&tracking_id=85fe5f49-e3b8-4a61-a927-ff6a7c2cd9c0
Renault Duster 2.0 Dynamique 4x4,70.500.000,2019,"66,000",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1396289879-renault-duster-dynamique-20-4x4-_JM#position=13&search_layout=grid&type=item&tracking_id=85fe5f49-e3b8-4a61-a927-ff6a7c2cd9c0
Renault Duster 2.0 Dynamique,45.000.000,2015,"163,000",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1403648433-renault-duster-dynamique-2015-_JM#position=14&search_layout=grid&type=item&tracking_id=85fe5f49-e3b8-4a61-a927-ff6a7c2cd9c0
Renault Duster Intens FE,90.000.000,2024,"31,000",Blanco,Gasolina y gas,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1397524543-renault-duster-intens-fe-_JM#position=15&search_layout=grid&type=item&tracking_id=85fe5f49-e3b8-4a61-a927-ff6a7c2cd9c0
